strategy,status,family,timeframe,entry_points,modules,portable_modules,cautionary_modules
pairs_cointegration_1d_20260709,ACTIVE,pairs_cointegration,1d,backtest.py; run_backtest.py; strategy.py,backtest.py; cointegration.py; conftest.py; data_loader.py; framework_adapter_freqtrade.py; optimize.py; portfolio.py; run_backtest.py; strategy.py; __init__.py; _synthetic.py; test_backtest.py; test_cointegration_eg.py; test_cointegration_ols.py; test_cointegration_rolling.py; test_data_loader.py; test_portfolio.py; test_strategy.py; walk_forward.py,7,12
trend_funding_drift_4h_1h_20260714,ACTIVE,trend_funding,1h,,,0,0
trend_multi_tf_momentum_cascade_4h_1h_15m_20260714,ACTIVE,trend_multi,15m,run_backtest.py; strategy.py,data_loader.py; run_backtest.py; strategy.py; test_backtest_outputs.py; walk_forward.py,2,3
trend_regime_gate_1d_adx_4h_1h_20260714,ACTIVE,trend_regime,1h,run_backtest.py; strategy.py,data_loader.py; run_backtest.py; strategy.py; __init__.py; test_strategy.py; walk_forward.py,2,4
vol_breakout_2tf_vpvr_confluence_4h_20260712,ACTIVE,vol_breakout,4h,run_backtest.py; strategy.py,data_loader.py; indicators.py; run_backtest.py; strategy.py; __init__.py; test_basic.py; walk_forward.py,2,5
vol_breakout_vpvr_regime_blend_4h_20260714,ACTIVE,vol_breakout,4h,,,0,0
vol_breakout_vpvr_val_fade_1h_5m_20260714,ACTIVE,vol_breakout,5m,run_backtest.py; strategy.py,data_loader.py; framework_adapter_backtrader.py; framework_adapter_freqtrade.py; run_backtest.py; b6_aggregate.py; b6_bootstrap.py; b6_fwer.py; strategy.py; test_b3_artifacts.py; walk_forward.py,1,9
vpvr_carry_term_8h_20260711,ACTIVE,vpvr_carry_term,8h,run_backtest.py; strategy.py,data_loader.py; framework_adapter_backtrader.py; framework_adapter_freqtrade.py; framework_adapter_vectorbt.py; run_backtest.py; strategy.py; test_framework_adapter_backtrader.py; test_strategy.py,0,8
vpvr_edge_zscore_15m_only_20260720,ACTIVE,vpvr_edge_zscore,15m,run_backtest.py; smoke_backtest.py; strategy.py,run_backtest.py; smoke_backtest.py; strategy.py,0,3
vpvr_edge_zscore_multi_tf_1m_15m_2h_20260720,ACTIVE,vpvr_edge_zscore,1m,run_backtest.py; smoke_backtest.py; strategy.py,build_signals.py; data_loader.py; run_backtest.py; smoke_backtest.py; strategy.py; __init__.py; test_signals.py,1,6
vpvr_inverse_reversion_4h_funding_filter_20260712,ACTIVE,vpvr_inverse_reversion,4h,,framework_adapter_freqtrade.py,0,1
vpvr_liquidation_heatmap_15m_20260714,ACTIVE,vpvr_liquidation_heatmap,15m,,,0,0
vpvr_micro_reversion_1h_funding_filter_20260710,ACTIVE,vpvr_micro_reversion,1h,run_backtest.py; strategy.py,data_loader.py; run_backtest.py; strategy.py; __init__.py; test_data_loader.py; test_strategy.py,2,4
vpvr_mtf_consensus_v2_4h_20260714,ACTIVE,vpvr_mtf_consensus,4h,,,0,0
vpvr_oi_divergence_4h_20260713,ACTIVE,vpvr_oi_divergence,4h,,,0,0
vpvr_regime_blend_4h_20260714,ACTIVE,vpvr_regime_blend,4h,,,0,0
vpvr_regime_reversion_4h_vol_switch_20260710,ACTIVE,vpvr_regime_reversion,4h,run_backtest.py; strategy.py,data_loader.py; run_backtest.py; strategy.py; test_strategy.py,0,4
vpvr_reversal_check_20260717,ACTIVE,vpvr_reversal_check,?,,run_cross_check.py,0,1
vpvr_reversion_15m_donchian_regime_20260709,ACTIVE,vpvr_reversion_15m,15m,run_backtest.py; strategy.py,data_loader.py; run_backtest.py; strategy.py; test_data_loader.py; test_strategy.py,1,4
vpvr_reversion_15m_vrp_filter_20260713,ACTIVE,vpvr_reversion_15m,15m,,,0,0
vpvr_reversion_4h_stablecoin_netflow_20260713,ACTIVE,vpvr_reversion_4h,4h,,,0,0
vpvr_reversion_5m_vwap_trail_20260709,ACTIVE,vpvr_reversion_5m,5m,run_backtest.py; strategy.py,data_loader.py; framework_adapter_vectorbt.py; run_backtest.py; strategy.py; test_data_loader.py; test_strategy.py,1,5
vpvr_tod_session_filter_15m_20260715,ACTIVE,vpvr_tod_session,15m,run_backtest.py; strategy.py,build_signals.py; data_loader.py; run_backtest.py; strategy.py; test_signals.py; tod_calendar.py,2,4
vpvr_volume_edge_3tf_v1_20260711,ACTIVE,vpvr_volume_edge,1m,run_backtest.py; strategy.py,data_loader.py; rebuild_summary.py; run_backtest.py; strategy.py; test_backtest_outputs.py; walk_forward.py,3,3
vpvr_xs_basis_15m_cross_exchange_20260713,ACTIVE,vpvr_xs_basis,15m,,,0,0
vpvr_xs_basis_zscore_15m_funding_filter_20260712,ACTIVE,vpvr_xs_basis,15m,run_backtest.py; strategy.py,data_loader.py; framework_adapter_backtrader.py; framework_adapter_freqtrade.py; run_backtest.py; run_cpcv.py; strategy.py; test_v72_basis_zscore.py; walk_forward.py,1,7
vpvr_xs_corr_breakdown_4h_20260714,ACTIVE,vpvr_xs_corr,4h,,,0,0
vpvr_xs_reversion_1d_momentum_filter_20260709,ACTIVE,vpvr_xs_reversion,1d,run_backtest.py; strategy.py,data_loader.py; run_backtest.py; strategy.py; test_data_loader.py; test_strategy.py,1,4
vpvr_xs_smart_routing_15m_20260715,ACTIVE,vpvr_xs_smart,15m,run_backtest.py; strategy.py,data_loader.py; framework_adapter_backtrader.py; framework_adapter_freqtrade.py; run_backtest.py; strategy.py; test_v3_basic.py,0,6
xs_momentum_rank_1d_20260709,ACTIVE,xs_momentum,1d,backtest.py; run_backtest.py; strategy.py,backtest.py; data_loader.py; portfolio.py; run_backtest.py; strategy.py; __init__.py; test_backtest.py; test_performance_report.py; test_portfolio.py; test_strategy.py; test_universe.py; test_walk_forward.py; universe.py; walk_forward.py,7,7
bb_reversion_rsi_1m_20260707,GRAVEYARD,bb_reversion,1m,run_backtest.py; strategy.py,data_loader.py; run_backtest.py; strategy.py; __init__.py; test_data_loader.py; test_strategy.py,2,4
bb_reversion_rsi_1m_20260707_p3opt_049,GRAVEYARD,bb_reversion,1m,run_backtest.py; strategy.py,data_loader.py; run_backtest.py; run_cpcv.py; strategy.py; __init__.py; test_data_loader.py; test_strategy.py,2,5
bb_reversion_rsi_1m_20260707_p3opt_050,GRAVEYARD,bb_reversion,1m,run_backtest.py; strategy.py,data_loader.py; run_backtest.py; run_cpcv.py; strategy.py,0,4
bb_reversion_rsi_1m_20260707_p3opt_099,GRAVEYARD,bb_reversion,1m,run_backtest.py; strategy.py,data_loader.py; run_backtest.py; run_cpcv.py; strategy.py; __init__.py; test_data_loader.py; test_strategy.py,2,5
bb_reversion_rsi_1m_20260707_p3opt_100,GRAVEYARD,bb_reversion,1m,run_backtest.py; strategy.py,data_loader.py; run_backtest.py; run_cpcv.py; strategy.py; __init__.py; test_data_loader.py; test_strategy.py,2,5
vol_breakout_1m_15m_vpvr_confluence_u6_20260718,GRAVEYARD,vol_breakout,tf_dependent,run_backtest.py; strategy.py,data_loader.py; indicators.py; run_backtest.py; strategy.py,1,3
vpvr_iceberg_fade_5m_20260711,GRAVEYARD,vpvr_iceberg_fade,5m,,,0,0
vpvr_iceberg_fade_v2_5m_20260711,GRAVEYARD,vpvr_iceberg_fade,5m,,framework_adapter_backtrader.py,0,1
vpvr_microstructure_5m_volume_delta_20260710,GRAVEYARD,vpvr_microstructure_5m,5m,,,0,0
vpvr_mtf_reversion_5m_consensus_20260710,GRAVEYARD,vpvr_mtf_reversion,5m,run_backtest.py; strategy.py,data_loader.py; framework_adapter_freqtrade.py; run_backtest.py; strategy.py; test_strategy.py,0,5
vpvr_obi_micro_v2_1m_20260714,GRAVEYARD,vpvr_obi_micro,1m,,,0,0
vpvr_reversion_1m_kama_reversal_20260709,GRAVEYARD,vpvr_reversion_1m,1m,run_backtest.py; strategy.py,build_signals.py; data_loader.py; run_backtest.py; strategy.py; test_data_loader.py; test_signals.py; test_strategy.py,2,5
vpvr_reversion_1m_volume_profile_break_20260709,GRAVEYARD,vpvr_reversion_1m,1m,run_backtest.py; strategy.py,build_signals.py; data_loader.py; framework_adapter_backtrader.py; framework_adapter_freqtrade.py; run_backtest.py; strategy.py; test_data_loader.py; test_signals.py; test_strategy.py,2,7
vpvr_sentiment_attention_1m_20260716,GRAVEYARD,vpvr_sentiment_attention,1m,run_backtest.py; strategy.py,build_signals.py; framework_adapter_backtrader.py; framework_adapter_freqtrade.py; run_backtest.py; strategy.py; test_signals.py,2,4
vpvr_xs_leadlag_5m_20260711,GRAVEYARD,vpvr_xs_leadlag,5m,run_backtest.py; strategy.py,data_loader.py; framework_adapter_backtrader.py; framework_adapter_freqtrade.py; run_backtest.py; strategy.py; __init__.py; test_indicators.py,2,5
funding_carry,GRAVEYARD,funding_carry,?,strategy.py,data_loader.py; framework_adapter_backtrader.py; framework_adapter_freqtrade.py; run_framework_cv_multiwindow.py; run_u5.py; run_u5_multiwindow.py; data_loader.py; run_sma34946.py; strategy.py,1,8
funding_carry_asym,GRAVEYARD,funding_carry,?,run_backtest.py; strategy.py,__init__.py; build_signals.py; data_loader.py; framework_adapter_vectorbt.py; prototype.py; run_backtest.py; sma34928_low_threshold.py; strategy.py; sweep_top_combo.py; __init__.py; test_build_signals.py; vpvr_hvn_persistence.py,2,10
funding_oscillator_mr,GRAVEYARD,funding_oscillator,?,strategy.py,data_loader.py; run_u5noncarry.py; strategy.py,0,3
sma_34925_btc_funding_delta,GRAVEYARD,sma,?,,backtest_backtrader.py; backtest_inhouse.py; backtest_vectorbt.py; sensitivity_sweep.py,0,4
vpvr_macro_calendar_4h_20260715,GRAVEYARD,vpvr_macro_calendar,4h,run_backtest.py; strategy.py,build_signals.py; data_loader.py; framework_adapter_backtrader.py; framework_adapter_freqtrade.py; framework_adapter_vectorbt.py; macro_calendar.py; run_backtest.py; strategy.py; test_signals.py,1,8
vpvr_onchain_proxy_1h_20260711,GRAVEYARD,vpvr_onchain_proxy,1h,run_backtest.py; strategy.py,data_loader.py; framework_adapter_backtrader.py; framework_adapter_vectorbt.py; run_backtest.py; strategy.py; __init__.py; test_indicators.py,2,5
vpvr_options_gamma_1d_20260711,GRAVEYARD,vpvr_options_gamma,1d,,,0,0
vpvr_options_iv_skew_1d_20260713,GRAVEYARD,vpvr_options_iv,1d,,,0,0
vpvr_options_iv_termstructure_4h_20260715,GRAVEYARD,vpvr_options_iv,4h,,,0,0
vpvr_options_putcall_oi_pressure_8h_20260715,GRAVEYARD,vpvr_options_putcall,8h,run_backtest.py; strategy.py,build_signals.py; framework_adapter_backtrader.py; framework_adapter_freqtrade.py; run_backtest.py; strategy.py; __init__.py; test_signals.py,3,4
vpvr_stable_depeg_regime_4h_20260716,GRAVEYARD,vpvr_stable_depeg,4h,run_backtest.py; strategy.py,build_signals.py; framework_adapter_backtrader.py; framework_adapter_freqtrade.py; run_backtest.py; run_cpcv.py; strategy.py; test_signals.py,2,5
vpvr_stable_depeg_regime_4h_20260716_p3opt_091,GRAVEYARD,vpvr_stable_depeg,4h,run_backtest.py; strategy.py,build_signals.py; framework_adapter_backtrader.py; framework_adapter_freqtrade.py; run_backtest.py; run_cpcv.py; strategy.py; test_signals.py,2,5
paper_trading_mtf_xs_pairs_eth_sol_20260719,GRAVEYARD,paper,30m,,fill_engine.py; kill_criteria.py; paper_runner.py,1,2
vpvr_funding_asym_4h_20260713,GRAVEYARD,vpvr_funding_asym,4h,run_backtest.py; strategy.py,__init__.py; data_loader.py; framework_adapter_backtrader.py; framework_adapter_freqtrade.py; framework_adapter_vectorbt.py; run_backtest.py; strategy.py; test_strategy.py,1,7
vpvr_funding_aware_v1_20260711,GRAVEYARD,vpvr_funding_aware,4h,run_backtest.py; strategy.py,audit_maxdd.py; data_loader.py; framework_adapter_backtrader.py; framework_adapter_freqtrade.py; framework_adapter_vectorbt.py; run_backtest.py; strategy.py; test_strategy.py; walk_forward.py,1,8
vpvr_funding_carry_asym_v2_20260718,GRAVEYARD,vpvr_funding_carry,?,run_backtest.py,build_signals.py; data_loader.py; funding_signal.py; run_backtest.py; run_cpcv.py; state_machine.py; __init__.py; test_funding_signal.py; test_state_machine.py; test_vpvr_band.py; trend_filter.py; vpvr_levels_band.py,6,6
vpvr_funding_delta_1h_20260711,GRAVEYARD,vpvr_funding_delta,1h,,,0,0
vpvr_funding_delta_1h_asym_20260711,GRAVEYARD,vpvr_funding_delta,1h,,,0,0
vpvr_funding_delta_1h_mtf_20260711,GRAVEYARD,vpvr_funding_delta,1h,,,0,0
vpvr_funding_delta_1h_pair_20260711,GRAVEYARD,vpvr_funding_delta,1h,,,0,0
vpvr_funding_hvn_lvn_20260718,GRAVEYARD,vpvr_funding_hvn,?,,vpvr_funding_hvn_lvn_backtest.py,0,1
vpvr_funding_hvn_lvn_confluence_20260718,GRAVEYARD,vpvr_funding_hvn,?,,framework_adapter_backtrader.py; vpvr_funding_hvn_lvn_confluence_backtest.py,0,2
vpvr_funding_regime_15m_20260711,GRAVEYARD,vpvr_funding_regime,15m,run_backtest.py; strategy.py,data_loader.py; framework_adapter_backtrader.py; framework_adapter_vectorbt.py; run_backtest.py; strategy.py; __init__.py; test_indicators.py,2,5
vpvr_funding_reset_window_1h_20260715,GRAVEYARD,vpvr_funding_reset,1h,run_backtest.py; strategy.py,data_loader.py; framework_adapter_backtrader.py; framework_adapter_freqtrade.py; framework_adapter_vectorbt.py; run_backtest.py; strategy.py; __init__.py; test_v3_basic.py,1,7
vpvr_funding_term_curve_1h_20260714,GRAVEYARD,vpvr_funding_term,1h,run_backtest.py; strategy.py,__init__.py; data_loader.py; framework_adapter_backtrader.py; framework_adapter_freqtrade.py; framework_adapter_vectorbt.py; run_backtest.py; strategy.py; __init__.py; test_strategy.py,2,7
cointegration_pairs_vpvr_poc_4h_20260714,GRAVEYARD,cointegration,4h,,framework_adapter_vectorbt.py,0,1
vpvr_xs_pairs_4h_zscore_vpvr_20260710,GRAVEYARD,vpvr_xs_pairs,4h,run_backtest.py; strategy.py,data_loader.py; framework_adapter_backtrader.py; framework_adapter_freqtrade.py; run_backtest.py; run_optimize_cpcv.py; strategy.py; __init__.py; test_v3_pair_zscore.py; walk_forward.py,3,6
vpvr_xs_pairs_btc_sol_4h_20260712,GRAVEYARD,vpvr_xs_pairs,4h,run_backtest.py; strategy.py,build_deliverables.py; cpcv_optimize.py; data_loader.py; framework_adapter_freqtrade.py; run_backtest.py; strategy.py; test_v3_pair_zscore.py; test_walk_forward.py; walk_forward.py,1,8
vpvr_xs_pairs_30m_funding_filter_20260712,GRAVEYARD,vpvr_xs_pairs,30m,run_backtest.py; strategy.py,data_loader.py; framework_adapter_backtrader.py; framework_adapter_freqtrade.py; run_backtest.py; strategy.py; test_v3_pair_zscore.py; test_walk_forward.py; walk_forward.py,1,7
vpvr_xs_pairs_30m_funding_filter_btc_bnb_v5_loose_20260717,GRAVEYARD,vpvr_xs_pairs,30m,run_backtest.py; strategy.py,data_loader.py; framework_adapter_backtrader.py; framework_adapter_freqtrade.py; run_backtest.py; strategy.py; walk_forward.py,0,6
vpvr_xs_pairs_30m_funding_filter_btc_doge_20260717,GRAVEYARD,vpvr_xs_pairs,30m,run_backtest.py; strategy.py,data_loader.py; framework_adapter_backtrader.py; framework_adapter_freqtrade.py; run_backtest.py; strategy.py; walk_forward.py,0,6
vpvr_xs_pairs_30m_funding_filter_btc_sol_regularized_20260712,GRAVEYARD,vpvr_xs_pairs,30m,run_backtest.py; strategy.py,data_loader.py; framework_adapter_backtrader.py; framework_adapter_freqtrade.py; run_backtest.py; strategy.py; test_v3_pair_zscore.py; test_walk_forward.py; walk_forward.py,1,7
vpvr_xs_pairs_30m_funding_filter_btc_sol_v10_backtrader_20260717,GRAVEYARD,vpvr_xs_pairs,30m,,,0,0
vpvr_xs_pairs_30m_funding_filter_btc_sol_v10_optimize_20260717,GRAVEYARD,vpvr_xs_pairs,30m,run_backtest.py; strategy.py,data_loader.py; framework_adapter_backtrader.py; framework_adapter_freqtrade.py; run_backtest.py; strategy.py; test_v3_pair_zscore.py; test_walk_forward.py; walk_forward.py,1,7
vpvr_xs_pairs_30m_funding_filter_btc_sol_v3_20260712,GRAVEYARD,vpvr_xs_pairs,30m,run_backtest.py; strategy.py,data_loader.py; framework_adapter_backtrader.py; framework_adapter_freqtrade.py; run_backtest.py; strategy.py; test_v3_pair_zscore.py; test_walk_forward.py; walk_forward.py,1,7
vpvr_xs_pairs_30m_funding_filter_eth_sol_20260712,GRAVEYARD,vpvr_xs_pairs,30m,run_backtest.py; strategy.py,data_loader.py; framework_adapter_backtrader.py; framework_adapter_freqtrade.py; run_backtest.py; strategy.py; test_v3_pair_zscore.py; test_walk_forward.py; walk_forward.py,1,7
vpvr_xs_pairs_30m_funding_filter_eth_sol_20260717,GRAVEYARD,vpvr_xs_pairs,30m,run_backtest.py; strategy.py,data_loader.py; framework_adapter_backtrader.py; framework_adapter_freqtrade.py; run_backtest.py; strategy.py; walk_forward.py,0,6
vpvr_xs_pairs_30m_funding_filter_eth_sol_v5_loose_20260717,GRAVEYARD,vpvr_xs_pairs,30m,run_backtest.py; strategy.py,data_loader.py; framework_adapter_backtrader.py; framework_adapter_freqtrade.py; run_backtest.py; strategy.py; walk_forward.py,0,6
